Implmtd.,Name,Short Description,Extended description
FALSE,Frisk,"Reveals opponents items, and allows them to always be removed.","The opponent's item will be revealed at the beginning of battle, and abilities and effects that would prevent that items removal (such as Sticky Hold) are disabled while this Pokemon is on the field."
FALSE,Flower Power,Boosts and protects Special Attack while Blooming.,"The Pokemon gains a x1.3 boost to Special Attack while Blooming. Also while Blooming, Special Attack may not be lowered.  If this Pokemon is not a Grass-type, its Speed is not reduced by Blooming and it is not prevented from swapping, but it does not regenerate health at the end of each turn."
FALSE,Honey Gather,Gathers honey after battle. Gives honey to allies if they need it.,"If this Pokemon's ally drops below 50%, it will feed it honey."
FALSE,Justified,This Pokemon resists and is boosted by Dark-type attacks.,"The Pokemon takes half damage from Dark-type attacks, and additionally if it is hit by a Dark-type attack, its Attack is boosted by one stage."
FALSE,Big Pecks,This Pokemon may use Defense in place of Attack. Defense is protected.,"When using physical attacks, if this Pokemon's Defense is higher than their Attack (including stat stage boosts) they use their Defense total instead of Attack total when calculating damage. Additionally, their Defense stat may not be lowered."
FALSE,Liquid Ooze,Stops other Poison-type moves then heals from any wasted toxins.,"Any Poison-type move used by any Pokemon on the field other than this one has it's effects completely nullified, then this Pokemon will be healed by 1/8th of it's health."
TRUE,Plus,"If this Pokemon's Ally has Minus, this Pokemon gets bulky and floats.","If the Pokemon's active partner in battle has the Minus or Superconduct ability, this Pokemon gets a x1.3 boost to Defense and Special Defense, and additionally levitates."
TRUE,Minus,"If this Pokemon's Ally has Plus, this Pokemon powers up and floats.","If the Pokemon's active partner in battle has the Plus or Superconduct ability, this Pokemon gets a x1.5 boost to Attack and Special Attack, and additionally levitates."
TRUE,Superconduct,"This Pokemon is Plus and Minus, but only floats and gets a small boost.","If this Pokemon's active partner in battle has the Plus, Minus, or Superconduct ability, this Pokemon gets a x1.1 boost to all stats except Health and Speed, and additionally levitates."
FALSE,Queen's Orders,Ally order moves are repeated.,"If this Pokemon's partner uses 'Attack Order,' 'Defend Order,' or 'Heal Order,' this Pokemon uses that move too."
FALSE,Queenly Majesty,,Priorty moves used by enemies fail and this Pokemon is unflinchable.
FALSE,Silly Rascal,Has a chance to cause a rucus.,"There is a 10% chance that, on any turn where a Pokemon with this ability is on the field, all Pokemon including this one will 'goof off' and refuse to do their usual moves. Damage over time and healing over time still apply, sleep still ticks down, and any multi-turn moves are interrupted."
FALSE,Monkey King,Powers up Monkey Moves.,"The moves 'Monkey Around' and 'Monkey Business' have -1 priority. When this Pokemon uses any other move with the word 'Monkey' in it, they treat this Pokemon's 'monkey mindset' value as if it was one higher than it is."
FALSE,Skill Link,Moves that can hit 5 times may hit more.,Moves that may hit 2 to 5 times will hit an additional time.
FALSE,Anticipation,Predicts moves,"Vanilla effects, but additionally if the first move a Pokemon uses against this Pokemon is the anticipated move, that move's damage is reduced by 1/2"
FALSE,Cocooned,Bulked up until first attack.,When switching in this Pokemon gains a x1.5 Defense and Special Defense boost until it uses a non-status move.
FALSE,Heatproof,Weakens FIRE-type moves.,Fire-type moves used on this Pokemon have their damage reduced by 1/2 and this Pokemon is immune to the Burn status effect.
FALSE,Arsenal,Stronger bullets.,"Bullet-type moves are stronger, and are unaffected by bulletproof."
FALSE,Unnerve,Prevents berries and item-disabling.,"Opposing pokemon cannot use berries or the moves knock off, trick, or any other move that would affect this or allied pokemon's items"
