Hoenn #,Implemented,Name,Type 1,Type 2,Fossil,Aquire Method 1,,Aquire Method 2,,HP,Attack,Defense,SpAttack,SpDefense,Speed,Total,Ability 1,Ability 2,Hidden Ability,Attack Changes,,,,,,,
71,FALSE,Nidoran M,Poison,,Poison Pin (Male),Catch,,,,46,57,40,40,40,50,273,Poison Point,Rivalry,Hustle,,,,,,,,
72,FALSE,Nidorino,Poison,,,Evolve,,Catch,,61,72,57,55,55,65,365,Poison Point,Rivalry,Hustle,,,,,,,,
73,FALSE,Nidoking,Poison,Ground,,Evolve,,,,81,102,77,85,75,85,505,Poison Point,Rivalry,Sheer Force,,,,,,,,
74,FALSE,Gulpin,Poison,,Stomach,Catch,,,,70,43,53,43,53,40,302,Liquid Ooze,Sticky Hold,Gluttony,,,,,,,,
75,FALSE,Swalot,Poison,,,Evolve,,Catch,,115,73,83,73,83,40,467,Liquid Ooze,Sticky Hold,Gluttony,,,,,,,,
76,FALSE,Salandit,Poison,Fire,Toxic Lizard,Catch,,,,48,44,40,71,40,77,320,Corrosion,,Oblivious,,,,,,,,
77,FALSE,Salazzle,Poison,Fire,,Evolve,,,,68,64,60,111,60,117,480,Corrosion,,Oblivious,,,,,,,,
78,FALSE,Skorupi,Poison,Bug,Scorpion,Catch,,,,40,50,90,30,55,65,330,Battle Armor,Keen Eye,Massive Stinger,,,,,,,,
79,FALSE,Drapion,Poison,Dark,,Evolve,,Catch,,70,90,110,60,75,95,500,Battle Armor,Keen Eye,Massive Stinger,,,,,,,,
80,FALSE,Croagunk,Poison,Fighting,Toxic Mouth,Catch,,,,48,61,40,61,40,50,300,Anticipation,Dry Skin,Poison Touch,,,,,,,,
81,FALSE,Toxicroak,Poison,Fighting,,Evolve,,,,83,106,65,86,65,85,490,Anticipation,Dry Skin,Poison Touch,,,,,,,,
82,FALSE,Mankey,Fighting,,Pig Monkey,Catch,,,,40,80,35,35,45,70,305,Vital Spirit,Anger Point,Defiant,,,,,,,,
83,FALSE,Primeape,Fighting,,,Evolve,,Catch,,65,104,60,60,70,96,455,Vital Spirit,Defiant,Monkey King,,,,,,,,
84,FALSE,Annihilape,Fighting,Ghost,,Evolve,,,,110,115,70,50,80,90,515,Vital Spirit,Defiant,Monkey King,,,,,,,,
85,FALSE,Makuhita,Fighting,,Thrusting Arm,Catch,Granite Cave,,,72,60,30,20,30,35,247,Thick Fat,Guts,Sheer Force,,,,,,,,
86,FALSE,Hariyama,Fighting,,,Evolve,,Catch,,144,120,60,40,60,50,474,Thick Fat,Guts,Sheer Force,,,,,,,,
87,FALSE,Falink,Fighting,,Lone Warrior,Catch,Granite Cave 1F,,,20,80,80,60,50,75,365,Battle Armor,,Defiant,,,,,,,,
88,FALSE,Falinks,Fighting,Rock,,Evolve,,Catch,,80,120,100,60,60,90,510,Battle Armor,,Defiant,,,,,,,,
89,FALSE,Riolu,Fighting,,Emanating,Catch,GraniteCave,,,40,70,40,35,40,60,285,Steadfast,Inner Focus,Prankster,,,,,,,,
90,FALSE,Lucario,Fighting,Steel,,Evolve,,,,70,110,70,115,70,90,525,Steadfast,Inner Focus,Justified,,,,,,,,
91,FALSE,Pancham,Fighting,,Smirking Panda,Catch,,,,67,82,62,46,48,43,348,Iron Fist,Mold Breaker,Budding,12: Form Slam,,,,,,,
92,FALSE,Pangoro,Fighting,Dark,,Evolve,,Catch,,95,124,78,69,71,58,495,Iron Fist,Mold Breaker,Budding,,,,,,,,
93,FALSE,Shroomish,Grass,,Mushroom,Catch,,,,60,40,60,40,60,35,295,Effect Spore,Poison Heal,Quick Feet,,,,,,,,
94,FALSE,Breloom,Grass,Fighting,,Evolve,,,,60,130,80,60,60,70,460,Effect Spore,Poison Heal,Technician,,,,,,,,
95,FALSE,Sunkern,Grass,,Seed,Catch,Route 104,,,30,30,30,30,30,30,180,Chlorophyll,Solar Power,Early Bird,,,,,,,,
96,FALSE,Sunflora,Grass,,,Evolve,,Catch,,95,65,55,105,85,30,435,Chlorophyll,Solar Power,Flower Power,Evo: Sunburst,Evo: Sunflare,34: Flamethrower,,,,,
97,FALSE,Hoppip,Grass,Flying,Cottonweed,Catch,Route 110,,,35,35,40,35,55,50,250,Chlorophyll,Bloom Spores,Cotton Down,,,,,,,,
98,FALSE,Skiploom,Grass,Flying,,Evolve,,Catch,Route 110,55,45,50,45,65,80,340,Chlorophyll,Bloom Spores,Cotton Down,,,,,,,,
99,FALSE,Jumpluff,Grass,Flying,,Evolve,,,,75,55,70,55,85,110,450,Chlorophyll,Bloom Spores,Cotton Down,,,,,,,,
100,FALSE,Bounsweet,Grass,,Rubber Fruit,Catch,,,,42,30,38,30,38,32,210,Leaf Guard,Oblivious,Sweet Veil,,,,,,,,
101,FALSE,Steenee,Grass,,,Evolve,,Catch,,52,40,48,40,48,62,290,Leaf Guard,Oblivious,Sweet Veil,,,,,,,,
102,FALSE,Tsareena,Grass,,,Evolve,,,,72,120,98,50,98,72,510,Leaf Guard,Queenly Majesty,Sweet Veil,,,,,,,,
103,FALSE,Morelull,Grass,Fairy,Glowing Spore,Catch,,,,40,35,55,65,75,15,285,Illuminate,Effect Spore,Bloom Spores,,,,,,,,
104,FALSE,Shiinotic,Grass,Fairy,,Evolve,,,,60,45,80,90,100,30,405,Illuminate,Effect Spore,Bloom Spores,,,,,,,,
105,FALSE,Capsakid,Grass,,Spicy Pepper,Catch,,,,50,62,40,62,40,50,304,Chlorophyll,Insomnia,Klutz,,,,,,,,
106,FALSE,Scovillain,Grass,Fire,,Evolve,,Catch,,65,108,65,108,65,75,486,Chlorophyll,Insomnia,Moody,,,,,,,,
107,FALSE,Poltchageist Counterfeit,Grass,Ghost,Matcha,Catch,Rustboro,,,40,45,45,74,54,50,308,Hospitality,,Heatproof,,,,,,,,
F,FALSE,Poltchageist Artisan,Grass,Ghost,Matcha,Catch,Rustboro,,,40,45,45,74,54,50,308,Hospitality,,Heatproof,,,,,,,,
108,FALSE,Sinistcha Unremarkable,Grass,Ghost,,Evolve,,,,71,60,106,121,80,70,508,Hospitality,,Heatproof,,,,,,,,
F,FALSE,Sinistcha Masterpiece,Grass,Ghost,,Evolve,,,,71,60,106,121,80,70,508,Hospitality,,Heatproof,,,,,,,,
109,FALSE,Smoliv,Grass,Normal,Olive,Catch,,,,41,35,45,58,51,30,260,Early Bird,Bloom Spores,Harvest,,,,,,,,
110,FALSE,Dolliv,Grass,Normal,,Evolve,,Catch,,52,53,60,78,78,33,354,Early Bird,Bloom Spores,Harvest,,,,,,,,
111,FALSE,Arboliva,Grass,Normal,,Evolve,,,,78,69,90,125,109,36,507,Seed Sower,Bloom Spores,Harvest,,,,,,,,
112,FALSE,Cacnea,Grass,,Cactus,Catch,Route 111,,,50,85,40,85,40,35,335,Sand Veil,,Water Absorb,,,,,,,,
113,FALSE,Cacturne,Grass,Dark,,Evolve,,,,70,115,60,115,60,55,475,Sand Veil,,Water Absorb,,,,,,,,
114,FALSE,Seedot,Grass,,Acorn,Catch,Route 117,,,40,40,50,30,30,30,220,Chlorophyll,Early Bird,Petal Skating,,,,,,,,
115,FALSE,Nuzleaf,Grass,Dark,,Evolve,,Catch,,70,70,40,60,40,60,340,Chlorophyll,Early Bird,Petal Skating,,,,,,,,
116,FALSE,Shiftry,Grass,Dark,,Evolve,,,,90,100,60,90,60,80,480,Chlorophyll,Wind Rider,Petal Skating,,,,,,,,
117,FALSE,Absol,Dark,,Disasterous,Catch,,,,65,130,60,75,60,75,465,Pressure,Super Luck,Justified,,,,,,,,
118,FALSE,Poochyena,Dark,,Strong Bite,Catch,Route 101,,,35,55,35,30,30,35,220,Run Away,Quick Feet,Rattled,,,,,,,,
119,FALSE,Mightyena,Dark,,,Evolve,,,,70,107,67,40,74,87,445,Intimidate,Strong Jaw,Moxie,28: Jaw Lock,,,,,,,
120,FALSE,Bonsly,Rock,,Bonsai,Catch,Route 112,,,50,80,95,10,45,10,290,Sturdy,Rock Head,Rattled,,,,,,,,
121,FALSE,Sudowoodo,Rock,,,Evolve,,Catch,Route 112,80,100,115,30,70,30,425,Sturdy,Rock Head,Solid Rock,,,,,,,,
122,FALSE,Kabuto,Rock,Water,Shellfish,Catch,Sandy Caves,,,60,115,105,65,70,80,495,Swift Swim,Battle Armor,Weak Armor,,,,,,,,
123,FALSE,Kabutops,Rock,Water,,Evolve,,,,60,115,105,65,70,80,495,Swift Swim,Battle Armor,Weak Armor,,,,,,,,
124,FALSE,Omanyte,Rock,Water,Spiral,Catch,Sandy Caves,,,35,40,100,90,55,35,355,Swift Swim,Shell Armor,Weak Armor,,,,,,,,
125,FALSE,Omastar,Rock,Water,,Evolve,,,,70,60,125,115,70,55,495,Swift Swim,Shell Armor,Weak Armor,,,,,,,,
126,FALSE,Aerodactyl,Rock,Flying,Amber,Evolve,,,,80,105,65,60,75,130,515,Rock Head,Pressure,Unnerve,,,,,,,,
127,FALSE,Lileep,Rock,Grass,Sea Lily,Catch,,,,66,41,77,61,87,23,355,Suction Cups,,Storm Drain,,,,,,,,
128,FALSE,Cradily,Rock,Grass,,Evolve,,,,86,81,97,81,107,43,495,Suction Cups,,Storm Drain,,,,,,,,
129,FALSE,Anorith,Rock,Bug,Old Shrimp,Catch,Sandy Caves,,,45,95,50,40,50,75,355,Battle Armor,Swift Swim,Swift Swim,,,,,,,,
130,FALSE,Armaldo,Rock,Bug,,Evolve,,,,75,125,100,70,80,45,495,Battle Armor,Swift Swim,Swift Swim,,,,,,,,
131,FALSE,Cranidos,Rock,,Hard Head,Catch,,,,67,125,40,30,30,58,350,Mold Breaker,Rock Head,Sheer Force,,,,,,,,
132,FALSE,Rampardos,Rock,,,Evolve,,,,97,165,60,65,50,58,495,Mold Breaker,Rock Head,Sheer Force,,,,,,,,
133,FALSE,Shieldon,Rock,Steel,Shield,Catch,,,,30,42,118,42,88,30,350,Sturdy,,Soundproof,,,,,,,,
134,FALSE,Bastiodon,Rock,Steel,,Evolve,,,,60,52,168,47,138,30,495,Sturdy,,Soundproof,,,,,,,,
135,FALSE,Tirtouga,Water,Rock,Prototurtle,Catch,,,,54,78,103,53,45,22,355,Solid Rock,Sturdy,Swift Swim,,,,,,,,
136,FALSE,Carracosta,Water,Rock,,Evolve,,,,74,108,133,83,65,32,495,Solid Rock,Sturdy,Swift Swim,,,,,,,,
137,FALSE,Archen,Rock,Flying,First Bird,Catch,,,,55,112,45,74,45,70,401,Defeatist,,Truant,,,,,,,,
138,FALSE,Archeops,Rock,Flying,,Evolve,,,,75,140,65,112,65,110,567,Defeatist,,Truant,,,,,,,,
139,FALSE,Tyrunt,Rock,Dragon,Royal Dino,Catch,,,,58,89,77,45,45,48,362,Strong Jaw,Rock Head,Marvel Scale,,,,,,,,
140,FALSE,Tyrantrum,Rock,Dragon,,Evolve,,,,91,121,119,69,73,48,521,Strong Jaw,Rock Head,Marvel Scale,,,,,,,,
141,FALSE,Amaura,Rock,Ice,Ice Sail,Catch,,,,77,59,50,67,63,46,362,Refrigerate,,Snow Warning,,,,,,,,
142,FALSE,Aurorus,Rock,Ice,,Evolve,,,,123,77,72,99,92,58,521,Refrigerate,,Snow Warning,,,,,,,,
143,FALSE,Genesect,Bug,Steel,Paleozoic,Catch,,,,71,120,95,120,75,99,580,Download,,,,,,,,,,
144,FALSE,Chikorita,Grass,,Big Leaf,Gift,,,,45,49,65,49,65,45,318,Overgrow,Leaf Guard,Petal Skating,,,,,,,,
145,FALSE,Bayleef,Grass,,,Evolve,,,,60,62,80,63,80,60,405,Overgrow,Leaf Guard,Petal Skating,,,,,,,,
146,FALSE,Meganium,Grass,Fairy,,Evolve,,,,90,62,100,98,110,90,550,Overgrow,Leaf Guard,Petal Skating,,,,,,,,
147,FALSE,Tepig,Fire,,Fire Pig,Gift,,,,65,63,45,45,45,45,308,Blaze,Reckless,Thick Fat,,,,,,,,
148,FALSE,Pignite,Fire,,,Evolve,,,,90,93,55,70,55,55,418,Blaze,Reckless,Thick Fat,,,,,,,,
149,FALSE,Emboar,Fire,Fighting,,Evolve,,,,110,123,65,100,65,65,528,Blaze,Reckless,Thick Fat,,,,,,,,
150,FALSE,Piplup,Water,,Penguin,Gift,,,,53,51,53,61,56,40,314,Torrent,Competitive,Thick Fat,,,,,,,,
151,FALSE,Prinplup,Water,,,Evolve,,,,64,66,68,81,76,50,405,Torrent,Competitive,Thick Fat,,,,,,,,
152,FALSE,Empoleon,Water,Steel,,Evolve,,,,84,86,88,111,101,60,530,Torrent,Competitive,Thick Fat,,,,,,,,
153,FALSE,Plusle,Electric,,Cheering +,Catch,,,,70,30,85,65,105,95,450,Plus,Silly Rascal,Volt Absorb,22: Follow Me,,,,,,,
154,FALSE,Minun,Electric,,Cheering -,Catch,,,,70,30,75,95,85,95,450,Minus,Silly Rascal,Lightning Rod,22: Follow Me,,,,,,,
155,FALSE,Toxel,Electric,Poison,Toxic Baby,Catch,,,,40,38,35,54,35,40,242,Rattled,Static,Klutz,,,,,,,,
156,FALSE,Toxtricity Amped,Electric,Poison,,Evolve,,,,75,98,70,114,70,81,508,Punk Rock,Minus,Technician,,,,,,,,
F,FALSE,Toxtricity Low Key,Electric,Poison,,Evolve,,,,75,72,70,104,111,76,508,Punk Rock,Plus,Technician,,,,,,,,
157,FALSE,Electrike,Electric,,Lightning,Catch,,,,40,45,40,65,40,65,295,Strong Jaw,Lightning Rod,Minus,,,,,,,,
158,FALSE,Manectric,Electric,,,Evolve,,,,70,105,60,75,60,105,475,Strong Jaw,Lightning Rod,Minus,Learnable: Flame Charge,Learnable: Revenge,Learnable: Metal Claw,,,,,
159,FALSE,Blitzle,Electric,,Thunderbolt,Catch,,,,45,60,32,50,32,76,295,Lightning Rod,Motor Drive,Sap Sipper,,,,,,,,
160,FALSE,Zebstrika,Electric,,,Evolve,,,,75,100,63,80,63,116,497,Lightning Rod,Minus,Sap Sipper,,,,,,,,
161,FALSE,Rotom Normal,Ghost,Electric,Plasma,Catch,,,,50,50,77,95,77,91,440,Levitate,,Infiltrator,16: Form Slam,,,,,,,
F,FALSE,Rotom Heat,Fire,Electric,,Form,,,,50,65,107,105,107,86,520,Levitate,,Flash Fire,,,,,,,,
F,FALSE,Rotom Wash,Water,Electric,,Form,,,,50,65,107,105,107,86,520,Levitate,,Storm Drain,,,,,,,,
F,FALSE,Rotom Frost,Ice,Electric,,Form,,,,50,65,107,105,107,86,520,Levitate,,Refrigerate,,,,,,,,
F,FALSE,Rotom Fan,Flying,Electric,,Form,,,,50,65,107,105,107,86,520,Levitate,,Aerilate,,,,,,,,
F,FALSE,Rotom Mow,Grass,Electric,,Form,,,,50,65,107,105,107,86,520,Levitate,,Flower Power,,,,,,,,
162,FALSE,Rookidee,Flying,,Tiny Metal Bird,Catch,Route 104,,,38,47,35,33,35,57,245,Keen Eye,Unnerve,Big Pecks,,,,,,,,
163,FALSE,Corvisquire,Flying,,,Evolve,,Catch,,68,67,55,43,55,77,365,Keen Eye,Unnerve,Big Pecks,,,,,,,,
164,FALSE,Corviknight,Flying,Steel,,Evolve,,,,98,87,105,53,85,67,495,Pressure,Unnerve,Mirror Armor,,,,,,,,
165,FALSE,Klink,Steel,,Gear,Catch,Rustboro,,,40,55,70,45,60,30,300,Heavy Metal,Light Metal,Superconduct,,,,,,,,
166,FALSE,Klang,Steel,,,Evolve,,Catch,,60,80,95,70,85,50,440,Heavy Metal,Light Metal,Superconduct,,,,,,,,
167,FALSE,Klinklang,Steel,,,Evolve,,,,60,100,110,70,85,90,515,Heavy Metal,Light Metal,Superconduct,,,,,,,,
168,FALSE,Klefki,Steel,Fairy,Key Ring,Catch,,,,57,80,91,80,87,75,470,Prankster,,Magician,,,,,,,,
169,FALSE,Mawile,Steel,Fairy,Deceptive,Catch,,,,50,85,85,55,55,50,380,Hyper Cutter,Intimidate,Sheer Force,,,,,,,,
170,FALSE,Bronzor,Steel,Psychic,Bronze Plate,Catch,,,,57,24,86,24,86,23,300,Levitate,Heatproof,Heavy Metal,,,,,,,,
171,FALSE,Bronzong,Steel,Psychic,,Evolve,,Catch,,77,89,116,89,116,33,520,Levitate,Heatproof,Heavy Metal,,,,,,,,
172,FALSE,Beldum,Steel,Psychic,Iron Ball,Catch,,,,40,55,80,35,60,30,300,Clear Body,,Light Metal,,,,,,,,
173,FALSE,Metang,Steel,Psychic,,Evolve,,,,60,75,100,55,80,50,420,Clear Body,,Light Metal,,,,,,,,
